Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Airbus A320,2015,2,Turbofan,180,6300,11.05,3204.25,10,Asia,146007010.42
Airbus A350,2013,2,Turbofan,350,14800,8.1,1418.39,12,Africa,568128796.99
Cessna 172,2023,1,Piston,4,1285,17.21,4104.22,2,Africa,482796.9
Cessna 172,1995,1,Piston,4,1285,37.6,614.07,30,Africa,190041.3
Cessna 172,2013,1,Piston,4,1285,21.92,1162.23,12,South America,341681.36
Bombardier CRJ200,2019,2,Turbofan,50,3000,6.0,1054.61,6,Europe,21738958.64
Boeing 737,2008,2,Turbofan,162,5700,4.1,4667.27,17,Europe,91682387.68
Boeing 737,2023,2,Turbofan,162,5700,6.4,3919.21,2,Africa,108174400.05
Airbus A320,2020,2,Turbofan,180,6300,11.59,4784.28,5,Europe,161313879.0
Cessna 172,1996,1,Piston,4,1285,20.28,723.23,29,North America,218894.44
Airbus A350,2015,2,Turbofan,350,14800,6.45,2406.97,10,Africa,636471365.82
Cessna 172,2000,1,Piston,4,1285,27.79,4826.98,25,North America,180111.43
Cessna 172,2009,1,Piston,4,1285,32.76,4592.97,16,Asia,302740.97
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.55,3929.79,6,South America,20440692.18
Cessna 172,2006,1,Piston,4,1285,24.53,4318.12,19,Asia,228263.81
Cessna 172,2017,1,Piston,4,1285,43.8,4122.94,8,South America,402839.24
Boeing 737,1998,2,Turbofan,162,5700,11.74,2526.58,27,South America,57478277.82
Boeing 777,2006,2,Turbofan,396,15600,10.25,2106.42,19,North America,555555298.45
Airbus A350,2021,2,Turbofan,350,14800,4.65,2955.63,4,Africa,662179837.76
Cessna 172,2018,1,Piston,4,1285,39.94,1813.6,7,Africa,327000.99
Cessna 172,2023,1,Piston,4,1285,38.29,2862.72,2,Australia,424863.38
Boeing 777,1995,2,Turbofan,396,15600,2.51,504.25,30,Asia,384206700.91
Bombardier CRJ200,2010,2,Turbofan,50,3000,5.15,4897.78,15,North America,19587160.7
Boeing 777,1999,2,Turbofan,396,15600,9.8,3776.52,26,North America,450180903.89
Airbus A350,2023,2,Turbofan,350,14800,9.46,4889.35,2,Asia,801288152.67
Bombardier CRJ200,2008,2,Turbofan,50,3000,9.77,4170.85,17,North America,15598972.53
Boeing 777,2006,2,Turbofan,396,15600,8.15,2271.36,19,South America,503173036.93
Bombardier CRJ200,2011,2,Turbofan,50,3000,11.19,1244.75,14,South America,16006466.99
Bombardier CRJ200,2012,2,Turbofan,50,3000,13.15,3018.85,13,Africa,17458825.29
Airbus A320,2013,2,Turbofan,180,6300,11.35,4789.04,12,South America,149079206.23
Boeing 737,2009,2,Turbofan,162,5700,9.81,3039.87,16,Asia,87752353.6
Boeing 777,2009,2,Turbofan,396,15600,13.99,3774.34,16,South America,601499476.44
Airbus A350,2020,2,Turbofan,350,14800,10.67,1364.11,5,Asia,801259908.98
Boeing 777,2011,2,Turbofan,396,15600,8.75,2004.99,14,South America,536427508.21
Cessna 172,2015,1,Piston,4,1285,21.07,2469.73,10,North America,331208.25
Boeing 737,2004,2,Turbofan,162,5700,6.37,2636.46,21,Asia,91621811.4
Airbus A320,2016,2,Turbofan,180,6300,3.11,2682.58,9,Europe,139641498.16
Airbus A320,2021,2,Turbofan,180,6300,8.73,4876.08,4,Europe,129888060.83
Bombardier CRJ200,2006,2,Turbofan,50,3000,3.38,837.03,19,South America,15160740.32
Boeing 737,2023,2,Turbofan,162,5700,8.56,1377.31,2,Asia,134957599.24
Airbus A320,2018,2,Turbofan,180,6300,2.69,664.07,7,Asia,143851902.2
Airbus A320,1996,2,Turbofan,180,6300,3.53,4253.74,29,South America,77741271.59
Boeing 777,2021,2,Turbofan,396,15600,5.41,4297.97,4,North America,719147399.65
Airbus A350,2004,2,Turbofan,350,14800,2.52,2397.71,21,North America,561852456.27
Airbus A350,1996,2,Turbofan,350,14800,6.32,3069.08,29,Europe,319310446.35
Airbus A350,1999,2,Turbofan,350,14800,3.39,1919.9,26,Australia,356962069.5
Cessna 172,2019,1,Piston,4,1285,48.65,3949.68,6,Africa,382994.96
Cessna 172,2022,1,Piston,4,1285,35.23,1783.43,3,North America,452452.28
Cessna 172,2021,1,Piston,4,1285,29.28,2550.42,4,South America,377097.25
Cessna 172,1998,1,Piston,4,1285,46.99,1931.18,27,North America,234146.28
Boeing 737,2001,2,Turbofan,162,5700,5.25,2958.83,24,North America,76518363.6
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.08,2044.74,25,North America,13954783.67
Boeing 777,2021,2,Turbofan,396,15600,2.21,948.11,4,Australia,978213228.63
Bombardier CRJ200,1999,2,Turbofan,50,3000,6.9,4836.58,26,Europe,11631147.91
Airbus A320,2013,2,Turbofan,180,6300,14.12,3574.01,12,Europe,127649839.23
Boeing 737,2018,2,Turbofan,162,5700,3.64,3090.49,7,Africa,130929804.39
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.44,2328.87,25,Australia,13626065.9
Airbus A350,1998,2,Turbofan,350,14800,4.62,1893.61,27,North America,384175562.57
Airbus A350,2005,2,Turbofan,350,14800,11.89,4589.72,20,Africa,419890448.76
Bombardier CRJ200,2016,2,Turbofan,50,3000,4.94,2633.71,9,Europe,19842819.5
Cessna 172,2020,1,Piston,4,1285,49.39,1165.81,5,Africa,386156.46
Bombardier CRJ200,2002,2,Turbofan,50,3000,12.0,1415.91,23,South America,13578919.31
Boeing 737,2010,2,Turbofan,162,5700,13.87,2922.63,15,Europe,104623143.38
Bombardier CRJ200,1996,2,Turbofan,50,3000,14.16,1101.63,29,Australia,11607260.43
Boeing 777,2021,2,Turbofan,396,15600,5.58,4721.82,4,Asia,871790060.34
Airbus A320,2002,2,Turbofan,180,6300,11.11,1994.78,23,Europe,96311514.06
Bombardier CRJ200,1999,2,Turbofan,50,3000,2.83,3823.46,26,Africa,11817210.16
Boeing 777,2003,2,Turbofan,396,15600,5.68,2242.5,22,North America,541556236.97
Cessna 172,1998,1,Piston,4,1285,25.09,4894.78,27,Africa,232639.43
Boeing 737,2010,2,Turbofan,162,5700,7.65,4108.28,15,Asia,92038673.72
Bombardier CRJ200,2017,2,Turbofan,50,3000,4.84,4764.59,8,South America,21744710.81
Airbus A320,2012,2,Turbofan,180,6300,11.65,2500.58,13,Asia,103534117.91
Bombardier CRJ200,2004,2,Turbofan,50,3000,2.76,1527.49,21,South America,14609607.16
Boeing 777,2006,2,Turbofan,396,15600,6.61,1256.09,19,Asia,425617664.23
Boeing 777,2006,2,Turbofan,396,15600,9.77,1182.84,19,South America,535701818.06
Airbus A350,2001,2,Turbofan,350,14800,10.6,3612.74,24,Australia,412373657.4
Airbus A320,2000,2,Turbofan,180,6300,7.47,4905.64,25,Australia,81344027.99
Airbus A350,2020,2,Turbofan,350,14800,8.25,4383.32,5,Africa,705982393.45
Airbus A350,2007,2,Turbofan,350,14800,13.41,2377.24,18,Africa,468529946.6
Bombardier CRJ200,1995,2,Turbofan,50,3000,6.33,1247.83,30,Europe,11881037.92
Bombardier CRJ200,2002,2,Turbofan,50,3000,6.46,4729.66,23,North America,13993989.51
Cessna 172,2017,1,Piston,4,1285,38.39,2571.6,8,North America,386583.56
Boeing 777,1998,2,Turbofan,396,15600,2.28,677.13,27,Africa,378546278.41
Bombardier CRJ200,2013,2,Turbofan,50,3000,9.88,2604.74,12,South America,20014507.24
Cessna 172,2001,1,Piston,4,1285,11.08,2427.58,24,Africa,248818.84
Airbus A350,2002,2,Turbofan,350,14800,7.06,2646.43,23,Europe,479278123.97
Airbus A320,2005,2,Turbofan,180,6300,14.51,4671.08,20,Asia,84598142.65
Boeing 737,2017,2,Turbofan,162,5700,14.98,2322.36,8,South America,112923675.19
Bombardier CRJ200,2021,2,Turbofan,50,3000,8.64,2478.03,4,Asia,21197474.64
Airbus A350,2020,2,Turbofan,350,14800,5.94,891.35,5,North America,621136307.73
Cessna 172,2019,1,Piston,4,1285,47.79,4849.51,6,Asia,424582.64
Boeing 737,2021,2,Turbofan,162,5700,14.33,4148.08,4,Asia,122396952.3
Airbus A350,2004,2,Turbofan,350,14800,11.01,2524.75,21,Asia,476651820.2
Cessna 172,1996,1,Piston,4,1285,26.23,2899.96,29,Africa,175152.6
Bombardier CRJ200,2023,2,Turbofan,50,3000,4.95,3214.6,2,Australia,26996108.15
Boeing 737,1999,2,Turbofan,162,5700,11.03,2947.04,26,Africa,67823499.77
Cessna 172,1997,1,Piston,4,1285,16.82,3974.68,28,South America,180299.14
Boeing 737,2012,2,Turbofan,162,5700,12.32,2678.78,13,Australia,80762904.12
Airbus A320,2018,2,Turbofan,180,6300,14.57,2504.83,7,Europe,172027154.2
Boeing 777,2013,2,Turbofan,396,15600,13.22,3070.4,12,Europe,649458365.9
Boeing 777,2006,2,Turbofan,396,15600,9.58,4405.91,19,North America,467517440.38
Airbus A350,2001,2,Turbofan,350,14800,14.57,1597.98,24,Europe,448665831.56
Bombardier CRJ200,2011,2,Turbofan,50,3000,2.67,3814.13,14,Europe,20059839.09
Boeing 737,2012,2,Turbofan,162,5700,7.02,721.83,13,Asia,85547672.59
Boeing 777,1996,2,Turbofan,396,15600,9.5,2501.21,29,Africa,412051573.46
Boeing 737,1998,2,Turbofan,162,5700,3.15,3232.96,27,North America,69635000.75
Bombardier CRJ200,2000,2,Turbofan,50,3000,2.83,3545.93,25,Africa,15009057.75
Bombardier CRJ200,2021,2,Turbofan,50,3000,14.39,1102.0,4,Europe,22700687.3
Boeing 777,2002,2,Turbofan,396,15600,4.59,827.0,23,Africa,516841739.32
Cessna 172,1997,1,Piston,4,1285,15.03,2951.6,28,Australia,181065.61
Boeing 737,2003,2,Turbofan,162,5700,5.1,1803.78,22,North America,72925896.06
Airbus A350,2009,2,Turbofan,350,14800,7.08,2150.05,16,North America,502357867.88
Airbus A350,2010,2,Turbofan,350,14800,6.12,806.17,15,Africa,591361248.41
Boeing 737,2006,2,Turbofan,162,5700,6.07,3592.55,19,South America,85060981.57
Airbus A350,2016,2,Turbofan,350,14800,7.32,544.22,9,Australia,618832077.84
Airbus A350,2002,2,Turbofan,350,14800,5.82,4152.32,23,South America,476643729.22
Boeing 737,2023,2,Turbofan,162,5700,11.45,2508.47,2,Australia,135567263.17
Airbus A320,2010,2,Turbofan,180,6300,13.9,3243.57,15,Africa,102594220.44
Boeing 737,2006,2,Turbofan,162,5700,11.77,1203.63,19,Africa,69852466.63
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.56,3106.91,25,Asia,15581833.64
Bombardier CRJ200,2023,2,Turbofan,50,3000,2.67,2834.37,2,South America,26625638.6
Bombardier CRJ200,2016,2,Turbofan,50,3000,8.4,1547.86,9,Australia,18815885.49
Boeing 777,2013,2,Turbofan,396,15600,8.03,1661.48,12,South America,661842443.9
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.09,977.96,6,Asia,23808526.06
Airbus A350,2022,2,Turbofan,350,14800,11.98,4135.81,3,Australia,752172818.55
Airbus A320,2010,2,Turbofan,180,6300,9.51,4254.46,15,North America,106410695.1
Bombardier CRJ200,2023,2,Turbofan,50,3000,7.96,3408.83,2,Australia,22880601.29
Airbus A350,2011,2,Turbofan,350,14800,3.36,1235.1,14,Europe,431703877.31
Boeing 737,2011,2,Turbofan,162,5700,10.44,980.2,14,North America,116156337.15
Airbus A320,2001,2,Turbofan,180,6300,12.77,4406.0,24,North America,81911610.78
Boeing 737,2012,2,Turbofan,162,5700,2.64,1005.79,13,Europe,100956490.02
Cessna 172,2021,1,Piston,4,1285,15.43,1658.66,4,Africa,382148.2
Airbus A350,1995,2,Turbofan,350,14800,9.93,4743.42,30,Asia,318975783.98
Airbus A350,2008,2,Turbofan,350,14800,11.23,4257.38,17,South America,538149109.65
Airbus A350,2000,2,Turbofan,350,14800,14.97,2034.33,25,Asia,365885659.79
Airbus A350,2021,2,Turbofan,350,14800,2.32,4688.03,4,Asia,645922061.59
Boeing 737,2005,2,Turbofan,162,5700,11.43,3635.1,20,Africa,85186752.81
Boeing 737,2015,2,Turbofan,162,5700,3.67,3413.04,10,South America,118040432.91
Cessna 172,2020,1,Piston,4,1285,24.49,679.77,5,North America,435782.85
Cessna 172,2015,1,Piston,4,1285,38.06,4218.76,10,Europe,335023.53
Bombardier CRJ200,2022,2,Turbofan,50,3000,8.1,2421.03,3,Africa,23522452.21
Boeing 777,2003,2,Turbofan,396,15600,10.33,4678.5,22,Asia,489600087.79
Airbus A320,2009,2,Turbofan,180,6300,14.64,797.25,16,North America,90840842.88
Cessna 172,2019,1,Piston,4,1285,29.11,2120.27,6,South America,447068.67
Airbus A350,2022,2,Turbofan,350,14800,11.3,3480.04,3,North America,650486556.0
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.1,1706.64,17,Asia,17497300.85
Boeing 737,2022,2,Turbofan,162,5700,9.77,679.09,3,Europe,113879269.04
Boeing 737,2001,2,Turbofan,162,5700,13.58,4413.63,24,North America,58415327.81
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.72,846.36,27,South America,9381709.87
Cessna 172,2003,1,Piston,4,1285,19.79,4195.67,22,Australia,286533.63
Bombardier CRJ200,2006,2,Turbofan,50,3000,12.97,719.45,19,Asia,17023218.93
Boeing 777,2019,2,Turbofan,396,15600,6.45,2471.2,6,Europe,667299440.37
Airbus A320,2009,2,Turbofan,180,6300,4.45,1339.66,16,Europe,125812479.83
Bombardier CRJ200,2001,2,Turbofan,50,3000,2.64,578.74,24,Asia,13925090.65
Bombardier CRJ200,2017,2,Turbofan,50,3000,5.56,3183.56,8,Asia,18418835.62
Airbus A350,2009,2,Turbofan,350,14800,11.56,619.74,16,Australia,599860686.11
Cessna 172,2012,1,Piston,4,1285,37.01,3837.58,13,Europe,395027.14
Airbus A350,2017,2,Turbofan,350,14800,3.37,1328.46,8,Africa,676454642.63
Bombardier CRJ200,2018,2,Turbofan,50,3000,2.43,4810.87,7,South America,19138704.39
Boeing 777,2012,2,Turbofan,396,15600,4.29,3704.99,13,Africa,637952312.31
Airbus A350,2018,2,Turbofan,350,14800,8.43,1559.22,7,Australia,698363714.55
Airbus A320,1997,2,Turbofan,180,6300,13.85,2752.79,28,Africa,73832213.67
Boeing 777,1998,2,Turbofan,396,15600,10.4,1159.77,27,Africa,374150082.0
Cessna 172,2012,1,Piston,4,1285,22.38,3896.72,13,North America,261042.74
Bombardier CRJ200,2015,2,Turbofan,50,3000,5.8,4928.4,10,North America,17863467.38
Bombardier CRJ200,2015,2,Turbofan,50,3000,6.61,1826.68,10,Australia,17073532.59
Cessna 172,1998,1,Piston,4,1285,14.14,4531.17,27,Australia,228456.9
Boeing 777,2023,2,Turbofan,396,15600,14.59,1259.37,2,Europe,816282443.33
Bombardier CRJ200,2021,2,Turbofan,50,3000,14.29,2537.98,4,Europe,20432074.53
Cessna 172,2014,1,Piston,4,1285,22.15,1347.36,11,Australia,387543.54
Bombardier CRJ200,2000,2,Turbofan,50,3000,3.87,918.58,25,Australia,12808977.3
Boeing 737,2002,2,Turbofan,162,5700,3.84,4080.1,23,South America,66893780.33
Airbus A350,2017,2,Turbofan,350,14800,10.36,1086.44,8,South America,623318826.68
Bombardier CRJ200,2006,2,Turbofan,50,3000,8.98,3451.19,19,Australia,17651379.38
Bombardier CRJ200,2014,2,Turbofan,50,3000,10.87,3547.06,11,North America,17054603.91
Airbus A320,1998,2,Turbofan,180,6300,12.15,981.63,27,Australia,73364659.83
Bombardier CRJ200,1998,2,Turbofan,50,3000,6.03,2469.94,27,Europe,14423823.05
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.86,1705.99,10,Europe,23112207.5
Bombardier CRJ200,2021,2,Turbofan,50,3000,11.35,1657.19,4,South America,25129946.99
Airbus A350,1995,2,Turbofan,350,14800,6.88,626.55,30,South America,334876301.54
Bombardier CRJ200,1998,2,Turbofan,50,3000,5.06,4203.52,27,Australia,12509898.25
Airbus A350,2006,2,Turbofan,350,14800,13.82,576.11,19,Australia,502235563.98
Boeing 777,2015,2,Turbofan,396,15600,12.66,1713.34,10,Asia,724875171.76
Boeing 737,1996,2,Turbofan,162,5700,13.91,4844.52,29,Europe,55659359.69
Cessna 172,2008,1,Piston,4,1285,41.8,2762.94,17,Europe,281338.41
Bombardier CRJ200,2021,2,Turbofan,50,3000,12.61,1722.73,4,North America,22490376.98
Cessna 172,2014,1,Piston,4,1285,13.54,2202.42,11,Australia,309221.27
Airbus A320,1998,2,Turbofan,180,6300,5.66,4193.82,27,Africa,80002275.38
Airbus A320,2023,2,Turbofan,180,6300,8.46,4679.44,2,Asia,141291914.99
Boeing 737,2007,2,Turbofan,162,5700,2.92,3367.86,18,North America,91015650.57
Cessna 172,1996,1,Piston,4,1285,28.98,4983.01,29,Europe,167294.62
Airbus A320,2017,2,Turbofan,180,6300,7.62,4172.26,8,North America,143732079.94
Boeing 737,2001,2,Turbofan,162,5700,7.34,4489.68,24,Africa,80387066.84
Airbus A320,2000,2,Turbofan,180,6300,2.22,921.02,25,South America,82482864.51
Boeing 737,2020,2,Turbofan,162,5700,5.07,4430.9,5,South America,127492774.88
Bombardier CRJ200,1999,2,Turbofan,50,3000,8.58,1940.07,26,Africa,11504518.58
Cessna 172,2015,1,Piston,4,1285,48.39,1231.3,10,North America,410786.82
Boeing 737,2000,2,Turbofan,162,5700,2.11,1147.44,25,South America,65024869.13
Boeing 737,2012,2,Turbofan,162,5700,7.49,533.58,13,Europe,70906659.96
Airbus A350,2014,2,Turbofan,350,14800,7.76,3731.31,11,South America,556418806.65
Boeing 777,2001,2,Turbofan,396,15600,5.36,2370.33,24,North America,464229649.63
Cessna 172,2010,1,Piston,4,1285,35.07,1419.15,15,South America,224106.55
Bombardier CRJ200,2002,2,Turbofan,50,3000,13.92,3046.33,23,Africa,10039761.08
Airbus A320,2021,2,Turbofan,180,6300,7.86,4103.68,4,South America,160041562.35
Cessna 172,1995,1,Piston,4,1285,17.69,2715.65,30,Asia,248241.96
Bombardier CRJ200,2000,2,Turbofan,50,3000,5.2,2587.71,25,Africa,12716780.07
Boeing 737,2004,2,Turbofan,162,5700,8.93,4785.19,21,North America,83620885.41
Cessna 172,1998,1,Piston,4,1285,31.72,3341.95,27,Asia,206963.47
Cessna 172,2003,1,Piston,4,1285,34.92,946.16,22,South America,232309.94
Cessna 172,2008,1,Piston,4,1285,41.12,2510.93,17,Africa,282260.94
Boeing 737,1998,2,Turbofan,162,5700,14.05,2328.5,27,Australia,60468768.39
Airbus A320,2000,2,Turbofan,180,6300,7.45,3696.9,25,South America,77383976.78
Cessna 172,2014,1,Piston,4,1285,33.43,1784.32,11,Asia,367302.0
Bombardier CRJ200,2020,2,Turbofan,50,3000,10.75,3995.7,5,Europe,24656547.06
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.3,853.82,18,Asia,16834712.2
Airbus A320,2014,2,Turbofan,180,6300,14.84,1617.29,11,Australia,147416324.72
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.76,3581.26,18,Australia,15273288.95
Boeing 737,2023,2,Turbofan,162,5700,5.66,1575.49,2,Europe,108597304.1
Boeing 737,2009,2,Turbofan,162,5700,13.43,588.43,16,Australia,86969077.11
Boeing 777,2015,2,Turbofan,396,15600,10.01,4055.37,10,Asia,676372720.88
Airbus A350,2004,2,Turbofan,350,14800,12.54,3963.79,21,Africa,488327743.9
Bombardier CRJ200,2005,2,Turbofan,50,3000,12.03,2329.08,20,Africa,15257143.96
Boeing 737,2021,2,Turbofan,162,5700,14.38,1801.18,4,Australia,150943234.53
Boeing 737,2002,2,Turbofan,162,5700,12.69,3496.76,23,South America,74436271.28
Boeing 737,1998,2,Turbofan,162,5700,9.05,559.77,27,Australia,62946225.8
Boeing 777,2018,2,Turbofan,396,15600,10.9,824.96,7,Asia,488755367.93
Boeing 777,2008,2,Turbofan,396,15600,11.95,2764.49,17,Africa,490433856.15
Airbus A350,2022,2,Turbofan,350,14800,4.24,3417.16,3,Asia,726100383.94
Airbus A350,2014,2,Turbofan,350,14800,12.63,4116.62,11,North America,610697917.9
Bombardier CRJ200,2021,2,Turbofan,50,3000,9.11,1096.12,4,North America,21171023.79
Boeing 737,2015,2,Turbofan,162,5700,13.09,2380.93,10,South America,107655148.39
Boeing 737,2016,2,Turbofan,162,5700,3.68,4436.45,9,South America,104709544.98
Airbus A350,2014,2,Turbofan,350,14800,3.32,3739.99,11,South America,519176648.93
Boeing 737,1999,2,Turbofan,162,5700,5.04,4050.11,26,Europe,74452073.62
Bombardier CRJ200,2002,2,Turbofan,50,3000,5.06,3376.41,23,Europe,14948192.81
Airbus A350,2021,2,Turbofan,350,14800,13.27,1070.61,4,South America,742312275.98
Airbus A320,2019,2,Turbofan,180,6300,11.87,3651.57,6,North America,140539523.19
Bombardier CRJ200,2016,2,Turbofan,50,3000,7.12,2910.6,9,Asia,20809252.89
Cessna 172,2009,1,Piston,4,1285,29.72,4316.91,16,Australia,274025.25
Cessna 172,2011,1,Piston,4,1285,23.36,2689.17,14,North America,316198.6
Bombardier CRJ200,1995,2,Turbofan,50,3000,7.99,1259.87,30,Asia,12662068.14
Boeing 777,2019,2,Turbofan,396,15600,6.64,2982.71,6,Asia,588942640.12
Airbus A320,2000,2,Turbofan,180,6300,14.55,2512.86,25,Africa,72820076.66
Airbus A350,2001,2,Turbofan,350,14800,7.95,1595.6,24,South America,387474984.54
Bombardier CRJ200,1999,2,Turbofan,50,3000,4.68,3917.84,26,Australia,14350410.08
Cessna 172,2003,1,Piston,4,1285,39.68,1422.41,22,North America,264323.3
Boeing 777,1995,2,Turbofan,396,15600,13.78,1936.51,30,Europe,391286878.14
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.07,2718.64,4,Africa,22757753.13
Boeing 777,2003,2,Turbofan,396,15600,14.27,1381.91,22,Europe,474108032.37
Bombardier CRJ200,2001,2,Turbofan,50,3000,9.08,4654.79,24,Africa,13850253.31
Airbus A350,2008,2,Turbofan,350,14800,11.13,1713.84,17,North America,566527267.14
Boeing 777,2011,2,Turbofan,396,15600,3.48,734.11,14,South America,532629798.96
Airbus A320,2014,2,Turbofan,180,6300,5.7,1180.69,11,Europe,145871839.64
Boeing 777,2020,2,Turbofan,396,15600,3.01,2928.48,5,Asia,698592532.17
Cessna 172,2020,1,Piston,4,1285,42.07,3368.31,5,Asia,396067.78
Cessna 172,2017,1,Piston,4,1285,24.47,2598.69,8,Africa,354982.77
Cessna 172,1996,1,Piston,4,1285,47.85,3312.91,29,South America,238951.67
Cessna 172,2010,1,Piston,4,1285,12.52,726.45,15,Australia,390402.71
Airbus A320,2003,2,Turbofan,180,6300,2.42,1343.06,22,Africa,102220913.66
Airbus A320,2017,2,Turbofan,180,6300,12.87,1112.25,8,Australia,151000660.93
Cessna 172,2012,1,Piston,4,1285,29.56,1645.99,13,Asia,288350.13
Airbus A350,2003,2,Turbofan,350,14800,14.83,2333.34,22,South America,453344572.32
Boeing 737,2022,2,Turbofan,162,5700,12.87,745.29,3,Europe,117886733.13
Cessna 172,2023,1,Piston,4,1285,31.08,2803.72,2,Europe,374210.71
Cessna 172,2022,1,Piston,4,1285,15.83,1110.32,3,Europe,459392.6
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.36,3638.44,15,North America,16347699.61
Boeing 777,2004,2,Turbofan,396,15600,2.67,2310.17,21,Africa,432889444.39
Bombardier CRJ200,2000,2,Turbofan,50,3000,12.44,3977.78,25,Asia,11580346.16
Bombardier CRJ200,2013,2,Turbofan,50,3000,6.77,1190.36,12,Australia,17335056.34
Boeing 777,1996,2,Turbofan,396,15600,11.19,4093.04,29,South America,382740371.22
Cessna 172,2016,1,Piston,4,1285,24.67,1356.72,9,Europe,377411.44
Airbus A350,2021,2,Turbofan,350,14800,14.82,1046.17,4,Africa,655977473.68
Boeing 777,2017,2,Turbofan,396,15600,7.07,4013.07,8,Australia,757618965.63
Boeing 737,2013,2,Turbofan,162,5700,4.27,2993.45,12,North America,103139561.03
Airbus A350,2002,2,Turbofan,350,14800,13.62,4400.7,23,North America,487719146.58
Airbus A350,2010,2,Turbofan,350,14800,3.23,4639.07,15,South America,642704827.38
Boeing 737,2012,2,Turbofan,162,5700,9.89,3906.17,13,Europe,102018991.6
Boeing 737,2012,2,Turbofan,162,5700,4.26,2587.14,13,Australia,101358797.56
Airbus A320,2006,2,Turbofan,180,6300,3.27,4916.4,19,North America,116158889.98
Bombardier CRJ200,2010,2,Turbofan,50,3000,9.14,795.32,15,Africa,17503522.46
Airbus A320,2017,2,Turbofan,180,6300,10.49,3158.9,8,Europe,127712534.89
Bombardier CRJ200,2006,2,Turbofan,50,3000,4.53,4296.56,19,Asia,13811764.15
Cessna 172,2017,1,Piston,4,1285,32.75,1433.8,8,Europe,412581.36
Airbus A320,2020,2,Turbofan,180,6300,7.62,4404.75,5,South America,146559370.47
Boeing 737,2016,2,Turbofan,162,5700,7.06,1142.54,9,Europe,114641994.95
Airbus A320,2013,2,Turbofan,180,6300,6.05,3760.51,12,Africa,122422074.64
Cessna 172,2016,1,Piston,4,1285,27.71,4023.16,9,Australia,423758.04
Boeing 737,2022,2,Turbofan,162,5700,7.76,2220.63,3,North America,123373002.69
Cessna 172,2010,1,Piston,4,1285,30.97,2127.96,15,Africa,319941.35
Airbus A320,2019,2,Turbofan,180,6300,2.38,3414.74,6,Australia,146960902.72
Cessna 172,1996,1,Piston,4,1285,24.38,2955.87,29,Europe,264821.12
Bombardier CRJ200,2023,2,Turbofan,50,3000,4.51,866.63,2,North America,23872752.57
Airbus A350,2018,2,Turbofan,350,14800,2.69,2600.07,7,South America,708153023.77
Cessna 172,2023,1,Piston,4,1285,35.81,1613.58,2,Africa,413294.65
Airbus A320,2018,2,Turbofan,180,6300,12.72,3429.37,7,Asia,130693203.5
Airbus A320,2010,2,Turbofan,180,6300,14.74,1731.5,15,South America,114332681.36
Airbus A350,2022,2,Turbofan,350,14800,14.59,4643.47,3,Europe,576148278.01
Cessna 172,2014,1,Piston,4,1285,36.94,4752.58,11,Asia,422042.57
Bombardier CRJ200,2021,2,Turbofan,50,3000,8.05,792.05,4,Africa,22752952.68
Cessna 172,2006,1,Piston,4,1285,33.29,2549.6,19,North America,236969.19
Boeing 737,2013,2,Turbofan,162,5700,4.14,2105.47,12,Africa,114614109.0
Airbus A320,2010,2,Turbofan,180,6300,6.4,3488.06,15,Africa,116142324.75
Boeing 777,2017,2,Turbofan,396,15600,13.86,4709.85,8,Australia,750893407.26
Bombardier CRJ200,2016,2,Turbofan,50,3000,13.57,4855.39,9,Asia,21887275.56
Boeing 777,2018,2,Turbofan,396,15600,9.34,1758.95,7,South America,703451860.4
Airbus A350,1996,2,Turbofan,350,14800,11.01,3875.72,29,Europe,342053736.57
Boeing 737,2004,2,Turbofan,162,5700,13.47,3578.94,21,Australia,81378585.38
Airbus A320,2000,2,Turbofan,180,6300,13.55,768.93,25,Africa,82333586.99
Airbus A350,2021,2,Turbofan,350,14800,6.58,715.02,4,South America,716238648.88
Boeing 777,1996,2,Turbofan,396,15600,7.15,4354.57,29,South America,384252138.97
Airbus A350,2016,2,Turbofan,350,14800,13.9,2234.99,9,North America,554504690.5
Cessna 172,1997,1,Piston,4,1285,30.2,3928.7,28,Australia,213262.02
Cessna 172,2015,1,Piston,4,1285,16.28,2462.32,10,Africa,380901.46
Airbus A320,2003,2,Turbofan,180,6300,14.24,3746.52,22,South America,79407371.06
Cessna 172,2010,1,Piston,4,1285,30.61,4467.36,15,North America,326855.63
Boeing 777,2016,2,Turbofan,396,15600,3.49,2987.17,9,North America,784915293.34
Bombardier CRJ200,2005,2,Turbofan,50,3000,8.88,1067.62,20,Australia,16934049.56
